text,risk,category,explanation,source
We collect your email address when you create an account to provide you with our services.,safe,Data Collection,Standard collection of necessary contact information for account creation.,Twitter ToS
You can delete your account and all associated data at any time through your account settings.,safe,Data Rights,Gives the user full control to delete their data.,Twitter ToS
We use industry-standard encryption to protect your personal information during transmission.,safe,Security,Standard security practice to protect user data.,Google ToS
We do not sell your personal information to third parties.,safe,Data Sharing,Explicitly protects user data from being sold.,Twitter ToS
You retain all ownership rights to the content you upload to our platform.,safe,IP Rights,Ensures the user keeps ownership of their own content.,Apple Privacy Policy
We will notify you at least 30 days in advance of any material changes to these terms.,safe,Updates,Provides reasonable notice before changing the rules.,Spotify ToS
You may opt out of receiving promotional emails by clicking the unsubscribe link in any email.,safe,Communication,Standard opt-out mechanism for marketing.,Google ToS
This agreement is governed by the laws of the State of California.,safe,Dispute Resolution,Standard choice of law provision.,TikTok Privacy Policy
We log your IP address to prevent fraud and abuse on our platform.,safe,Data Collection,"Standard security practice with a clear, legitimate purpose.",Spotify ToS
"If you are under 13, you may not use our services.",safe,Age Restrictions,Standard compliance with COPPA.,Apple Privacy Policy
We may suspend your account if you violate these Terms of Service.,safe,Termination,Standard enforcement of terms.,Google ToS
You are responsible for keeping your password secure.,safe,User Responsibilities,Standard user security responsibility.,TikTok Privacy Policy
We may share your anonymized usage data with our analytics partners.,watch,Data Sharing,"Data is anonymized, but still shared with third parties for analytics.",Apple Privacy Policy
We use cookies and similar technologies to track your activity on our website.,watch,Tracking,"Standard tracking, but merits awareness of how activity is monitored.",Twitter ToS
Our service may contain links to third-party websites not controlled by us.,watch,Third Parties,"Standard disclaimer, reminding you that other sites have their own rules.",Netflix Terms
We may contact you with promotional offers from our affiliates.,watch,Communication,"Allows affiliate marketing, which may result in more emails.",TikTok Privacy Policy
We retain your data for as long as your account is active or as needed to provide you services.,watch,Data Retention,Data is kept indefinitely while the account is open.,TikTok Privacy Policy
You grant us a license to use your uploaded content to operate and improve our services.,watch,IP Rights,"Standard operating license, but gives the platform broad rights to use your content.",TikTok Privacy Policy
"We may collect information about your device, including hardware model and OS.",watch,Data Collection,Collects detailed device profiling data.,Apple Privacy Policy
Our services are provided 'as is' without any warranties.,watch,Liability,Standard disclaimer limiting their legal liability for issues.,Amazon PP
We may process your data on servers located outside your home country.,watch,Data Transfer,Data may be subject to different privacy laws internationally.,Meta PP
"We may update these terms occasionally, and your continued use implies consent.",watch,Updates,Silent updates without active confirmation.,Apple Privacy Policy
"If our company is acquired, your data will be transferred to the new owners.",watch,Business Transfer,Your data changes hands if the company is sold.,Amazon PP
We may use your personal information to personalize the advertising you see.,watch,Targeted Ads,Uses your data for targeted advertising profiles.,Netflix Terms
We may sell your personal data to third-party marketing partners.,danger,Data Selling,Explicitly monetizes your personal data by selling it to third parties.,Apple Privacy Policy
You waive your right to participate in a class action lawsuit against us.,danger,Dispute Resolution,Severely limits your legal recourse by preventing collective action.,Twitter ToS
All disputes must be resolved through binding arbitration.,danger,Dispute Resolution,Forces you out of public courts into private arbitration.,Spotify ToS
We reserve the right to change these terms at any time without prior notice.,danger,Updates,Allows them to change the rules at any time without telling you.,Spotify ToS
"You grant us a worldwide, perpetual, irrevocable, royalty-free license to use, modify, and distribute your content.",danger,IP Rights,You permanently give up essentially all rights to your intellectual property.,Google ToS
"We may terminate your account at any time, for any reason, without notice or liability.",danger,Termination,Extremely broad termination rights with no protection for the user.,Twitter ToS
We collect your precise geolocation data continuously in the background.,danger,Data Collection,Highly invasive tracking of your physical location at all times.,Twitter ToS
"We are not liable for any damages, even if we were negligent or aware of the possibility.",danger,Liability,"Attempts to completely absolve the company of all responsibility, even for negligence.",Apple Privacy Policy
We may read your private messages to improve our advertising algorithms.,danger,Privacy Violation,Severe violation of communication privacy for commercial gain.,Amazon PP
You agree to indemnify and hold us harmless from any claims arising from your use of the service.,danger,Liability,"Shifts all legal and financial burden onto the user, even for the platform's failures.",Google ToS
We retain the right to collect data from your microphone at any time.,danger,Data Collection,Extremely invasive surveillance of your offline environment.,Twitter ToS
"By using our service, you consent to us sharing your complete browsing history with our affiliates.",danger,Data Sharing,Massive overcollection and sharing of sensitive web activity.,Google ToS
We collect your email address when you create an account to provide you with our services.,safe,Data Collection,Standard collection of necessary contact information for account creation.,Twitter ToS
You can delete your account and all associated data at any time through your account settings.,safe,Data Rights,Gives the user full control to delete their data.,Spotify ToS
We use industry-standard encryption to protect your personal information during transmission.,safe,Security,Standard security practice to protect user data.,Meta PP
We do not sell your personal information to third parties.,safe,Data Sharing,Explicitly protects user data from being sold.,Spotify ToS
You retain all ownership rights to the content you upload to our platform.,safe,IP Rights,Ensures the user keeps ownership of their own content.,Meta PP
We will notify you at least 30 days in advance of any material changes to these terms.,safe,Updates,Provides reasonable notice before changing the rules.,Amazon PP
You may opt out of receiving promotional emails by clicking the unsubscribe link in any email.,safe,Communication,Standard opt-out mechanism for marketing.,Spotify ToS
This agreement is governed by the laws of the State of California.,safe,Dispute Resolution,Standard choice of law provision.,Apple Privacy Policy
We log your IP address to prevent fraud and abuse on our platform.,safe,Data Collection,"Standard security practice with a clear, legitimate purpose.",Meta PP
"If you are under 13, you may not use our services.",safe,Age Restrictions,Standard compliance with COPPA.,TikTok Privacy Policy
We may suspend your account if you violate these Terms of Service.,safe,Termination,Standard enforcement of terms.,TikTok Privacy Policy
You are responsible for keeping your password secure.,safe,User Responsibilities,Standard user security responsibility.,Netflix Terms
We may share your anonymized usage data with our analytics partners.,watch,Data Sharing,"Data is anonymized, but still shared with third parties for analytics.",Twitter ToS
We use cookies and similar technologies to track your activity on our website.,watch,Tracking,"Standard tracking, but merits awareness of how activity is monitored.",Twitter ToS
Our service may contain links to third-party websites not controlled by us.,watch,Third Parties,"Standard disclaimer, reminding you that other sites have their own rules.",Meta PP
We may contact you with promotional offers from our affiliates.,watch,Communication,"Allows affiliate marketing, which may result in more emails.",Meta PP
We retain your data for as long as your account is active or as needed to provide you services.,watch,Data Retention,Data is kept indefinitely while the account is open.,TikTok Privacy Policy
You grant us a license to use your uploaded content to operate and improve our services.,watch,IP Rights,"Standard operating license, but gives the platform broad rights to use your content.",Apple Privacy Policy
"We may collect information about your device, including hardware model and OS.",watch,Data Collection,Collects detailed device profiling data.,Netflix Terms
Our services are provided 'as is' without any warranties.,watch,Liability,Standard disclaimer limiting their legal liability for issues.,Meta PP
